
”≥œÒ√˚≥∆                       PID ª·ª∞√˚              ª·ª∞#       ƒ⁄¥Ê π”√  ◊¥Ã¨            ”√ªß√˚                                                 CPU  ±º‰ ¥∞ø⁄±ÍÃ‚                                                                
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                   106:44:26 ‘›»±                                                                    
Microsoft.Photos.exe         27008 Console                    5     76,432 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 OleMainThreadWndName                                                    
msedge.exe                   28728 Console                    5    108,132 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:17 ‘›»±                                                                    
msedge.exe                   35776 Console                    5     63,192 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
msedge.exe                   14944 Console                    5    131,268 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:07 ‘›»±                                                                    
msedge.exe                   36088 Console                    5     99,472 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:07 ‘›»±                                                                    
msedge.exe                   15488 Console                    5     54,464 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
msedge.exe                   23396 Console                    5     97,076 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:04 ‘›»±                                                                    
msedge.exe                   24112 Console                    5    102,964 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:06 ‘›»±                                                                    
msedge.exe                   22952 Console                    5    118,748 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:12 ‘›»±                                                                    
msedge.exe                   13112 Console                    5    105,124 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:11 ‘›»±                                                                    
msedge.exe                    1828 Console                    5    136,528 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:07 ‘›»±                                                                    
msedge.exe                   14548 Console                    5     91,096 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:01 ‘›»±                                                                    
efsui.exe                    31540 Console                    5     10,816 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
msedge.exe                   27240 Console                    5    131,724 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:03 ‘›»±                                                                    
msedge.exe                   39748 Console                    5    112,980 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:03 ‘›»±                                                                    
msedge.exe                    7708 Console                    5    112,916 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:15 ‘›»±                                                                    
RuntimeBroker.exe            12516 Console                    5     34,048 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
VsDebugConsole.exe           15316 Console                    5      6,008 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 Microsoft Visual Studio µ˜ ‘øÿ÷∆Ã®                                      
conhost.exe                  24916 Console                    5     20,396 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:01 ‘›»±                                                                    
msedgewebview2.exe           38600 Console                    5    107,004 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:04 ‘›»±                                                                    
msedgewebview2.exe           14932 Console                    5      8,376 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
msedgewebview2.exe           22016 Console                    5     76,384 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:03 ‘›»±                                                                    
msedgewebview2.exe           37180 Console                    5     29,420 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
msedgewebview2.exe           12000 Console                    5     18,960 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
msedgewebview2.exe           13740 Console                    5     90,264 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:08 ‘›»±                                                                    
msedgewebview2.exe           27880 Console                    5     55,000 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
msedgewebview2.exe           23244 Console                    5     62,932 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
msedgewebview2.exe           39076 Console                    5     68,676 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
msedge.exe                   20436 Console                    5    117,516 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:05 ‘›»±                                                                    
msedge.exe                     800 Console                    5    105,808 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:03 ‘›»±                                                                    
msedge.exe                   29080 Console                    5     92,112 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:03 ‘›»±                                                                    
msedge.exe                     664 Console                    5     68,772 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
notepad.exe                  38764 Console                    5     18,828 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 BuildWin.bat - º« ¬±æ                                                   
audiodg.exe                  28488 Services                   0     16,936 K Unknown         ‘›»±                                                    0:00:06 ‘›»±                                                                    
msedge.exe                   11344 Console                    5    109,976 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:04 ‘›»±                                                                    
msedge.exe                   38860 Console                    5     33,952 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
svchost.exe                  38656 Services                   0      7,760 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
svchost.exe                  34596 Services                   0     16,608 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
SearchProtocolHost.exe       38740 Services                   0     13,544 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
smartscreen.exe              31216 Console                    5     25,100 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 OleMainThreadWndName                                                    
Unity.exe                    35548 Console                    5    558,720 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:15 hybridclr_test - Untitled - PC, Mac & Linux Standalone - Unity 2020.3.33
hasp_rt.exe                  25728 Console                    5     12,880 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
UnityCrashHandler64.exe      15216 Console                    5      6,444 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
WmiPrvSE.exe                 39448 Services                   0     10,188 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
Unity.Licensing.Client.ex     9160 Console                    5     51,776 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 E:\unity\2020.3.33f1c2\Editor\Data\Resources\Licensing\Client\Unity.Lice
conhost.exe                  21376 Console                    5     13,848 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
UnityPackageManager.exe      10920 Console                    5     57,488 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:06 E:\unity\2020.3.33f1c2\Editor\Data\Resources\PackageManager\Server\Unity
conhost.exe                  36120 Console                    5     13,840 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
UnityShaderCompiler.exe      34380 Console                    5     21,856 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 E:\unity\2020.3.33f1c2\Editor\Data\Tools\UnityShaderCompiler.exe        
conhost.exe                  21240 Console                    5     13,828 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
notepad.exe                  15656 Console                    5     18,396 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 BuildPlayerHelper.cs - º« ¬±æ                                           
SearchProtocolHost.exe       21784 Console                    5      8,684 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
SearchFilterHost.exe         16928 Services                   0      7,628 K Unknown         ‘›»±                                                    0:00:00 ‘›»±                                                                    
notepad.exe                  19856 Console                    5     18,276 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 BuildConfig.cs - º« ¬±æ                                                 
dllhost.exe                  21780 Console                    5     11,772 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 OleMainThreadWndName                                                    
cmd.exe                      40444 Console                    5      5,012 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 C:\Windows\system32\cmd.exe                                             
conhost.exe                   5404 Console                    5     17,396 K Running         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
tasklist.exe                 36268 Console                    5     11,928 K Unknown         DESKTOP-7K7LHLO\Lenovo                                  0:00:00 ‘›»±                                                                    
